event_id,city,state,cluster,lon,lat,rad
1142,Atlanta, GA,Stripes,-84.3879824,33.7489954,200
1143,Baltimore, MD,Blue,-76.6121893,39.2903848,100
1137,Boston, MA,Stripes,-71.0588801,42.3600825,60
1163,Charleston, SC,Blue,-79.9310512,32.7764749,200
1138,Chicago, IL,White,-87.6297982,41.8781136,100
1145,Cleveland, OH,Blue,-81.6943605,41.49932,150
1146,Dallas, TX,Gray,-96.7969879,32.7766642,300
1136,Denver, CO,Green,-104.990251,39.7392358,200
1124,Des Moines, IA,White,-93.6091064,41.6005448,200
1147,Detroit, MI,Blue,-83.0457538,42.331427,200
1125,Fort Lauderdale, FL,Purple,-80.1373174,26.1224386,200
1135,Fort Wayne, IN,Blue,-85.1393513,41.079273,200
1126,Indianapolis, IN,White,-86.158068,39.768403,150
1127,Kansas City, MO,White,-94.6274636,39.114053,150
1139,Los Angeles, CA,Gray,-118.2436849,34.0522342,300
1165,Louisvile,KY,Stripes,-85.7585,38.2527,200
1078,New Orleans, LA,Done,-90.0715323,29.9510658,200
1140,New York, NY,Stripes,-74.0059413,40.7127837,50
1129,Omaha, NE,Green,-95.9979883,41.2523634,225
1149,Orlando, FL,Purple,-81.3792365,28.5383355,200
1141,Philadelphia, PA,Stripes,-75.1652215,39.9525839,100
1130,Portland, OR,Green,-70.2553259,43.661471,200
1164,Raleigh, NC,Purple,-78.6381787,35.7795897,200
1148,Orange County, CA,Gray,-117.8311,33.7175,200
1131,San Antonio, TX,Gray,-98.4936282,29.4241219,200
1150,San Francisco, CA,Green,-122.4194155,37.7749295,200
1151,St. Louis, MO,Green,-90.1994042,38.6270025,150
1152,St. Paul, MN,Green,-93.0899578,44.9537029,200
1132,Tucson, AZ,Gray,-110.926479,32.2217429,300
1153,Virtual Coast-To-Coast,,Virtual,360,360,0
1133,Warwick, RI,Blue,-71.4161671,41.7001009,100
1134,Wichita, KS,White,-97.336111,37.688889,200
